protid,DEFLINE,NN1,NN2,NN3,ON1,ON2,ON3,NO1,NO2,NO3,OO1,OO2,OO3
m.2030,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",1,0,7,2,7,7,4,0,12,3,3,2
m.27948,Lipoma-preferred partner homolog OS=Gallus gallus GN=LPP PE=2 SV=1,6,3,6,6,6,4,7,6,9,0,0,1
m.28159,Dual specificity protein kinase shkC OS=Dictyostelium discoideum GN=shkC PE=3 SV=1,0,4,4,0,3,1,1,3,0,4,5,5
m.13206,6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2,4,7,8,11,10,3,6,10,0,14,14,17
m.284,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1,4,14,12,11,15,18,19,14,7,18,17,23
m.28413,Glycolipid transfer protein OS=Rattus norvegicus GN=GLTP PE=2 SV=1,28,46,8,10,22,6,12,3,12,8,9,8
m.28422,Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3,11,12,18,8,5,13,10,1,14,18,15,15
m.28444,Eukaryotic initiation factor 4A-III OS=Rattus norvegicus GN=Eif4a3 PE=1 SV=1,10,19,15,19,12,22,18,15,15,17,19,21
m.2848,Putative methyltransferase 235L OS=Invertebrate iridescent virus 6 GN=IIV6-235L PE=3 SV=1,11,18,14,13,15,6,11,4,1,19,18,16
m.28493,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1,1,0,1,4,0,1,2,2,0,2,0,1
m.35940,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1,0,0,0,0,0,0,0,0,2,0,0,0
m.5106,Contactin-associated protein 1 OS=Homo sapiens GN=CNTNAP1 PE=1 SV=1,0,0,0,0,0,0,1,0,0,0,0,1
m.1611,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1,0,0,1,0,0,1,0,2,13,0,0,1
m.28546,Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2,69,97,57,62,59,75,71,44,56,48,49,46
m.2878,m.2878,42,39,73,62,44,26,43,21,32,40,45,38
m.288,Transportin-1 OS=Bos taurus GN=TNPO1 PE=1 SV=2,0,1,0,0,0,0,3,0,0,0,0,0
m.21852,m.21852,0,0,0,0,0,0,1,0,0,0,0,0
m.29,Peptidyl-prolyl cis-trans isomerase CYP19-1 OS=Arabidopsis thaliana GN=CYP19-1 PE=1 SV=1,31,32,24,27,27,27,20,9,38,16,18,22
symbB1.EST_k37c20_3070|m.7296,symbB1.EST_k37c20_3070 g.7296  ORF symbB1.EST_k37c20_3070 g.7296 symbB1.EST_k37c20_3070 m.7296 type:3prime_partial len:139 (-) symbB1.EST_k37c20_3070:3-416(-),142,134,116,119,123,126,0,52,6,0,0,0
symbB1.EST_k37c20_40880|m.81403,symbB1.EST_k37c20_40880 g.81403  ORF symbB1.EST_k37c20_40880 g.81403 symbB1.EST_k37c20_40880 m.81403 type:complete len:200 (-) symbB1.EST_k37c20_40880:111-710(-),10,14,8,9,18,8,11,6,11,7,9,9
m.28602,m.28602,0,1,0,0,0,0,0,0,0,0,0,0
symbB1.EST_k37c20_4165|m.9910,symbB1.EST_k37c20_4165 g.9910  ORF symbB1.EST_k37c20_4165 g.9910 symbB1.EST_k37c20_4165 m.9910 type:complete len:173 (+) symbB1.EST_k37c20_4165:64-582(+),0,0,0,0,0,0,2,0,2,3,3,1
symbB1.EST_k37c20_3072|m.7306,symbB1.EST_k37c20_3072 g.7306  ORF symbB1.EST_k37c20_3072 g.7306 symbB1.EST_k37c20_3072 m.7306 type:complete len:173 (-) symbB1.EST_k37c20_3072:119-637(-),3,0,0,0,0,0,2,0,2,3,3,1
symbB1.EST_k37c20_15580|m.35509,symbB1.EST_k37c20_15580 g.35509  ORF symbB1.EST_k37c20_15580 g.35509 symbB1.EST_k37c20_15580 m.35509 type:5prime_partial len:323 (-) symbB1.EST_k37c20_15580:151-1119(-),0,0,0,0,0,0,0,0,2,0,0,0
symbB1.EST_k37c20_1348|m.3129,symbB1.EST_k37c20_1348 g.3129  ORF symbB1.EST_k37c20_1348 g.3129 symbB1.EST_k37c20_1348 m.3129 type:5prime_partial len:292 (-) symbB1.EST_k37c20_1348:101-976(-),4,3,5,4,4,6,3,1,5,1,5,5
m.24755,m.24755,0,0,0,2,0,4,4,0,0,0,0,0
symbB1.EST_k37c20_21314|m.47711,symbB1.EST_k37c20_21314 g.47711  ORF symbB1.EST_k37c20_21314 g.47711 symbB1.EST_k37c20_21314 m.47711 type:5prime_partial len:405 (+) symbB1.EST_k37c20_21314:3-1217(+),0,2,1,0,0,0,4,0,2,1,0,0
symbB1.EST_k37c20_16504|m.37609,symbB1.EST_k37c20_16504 g.37609  ORF symbB1.EST_k37c20_16504 g.37609 symbB1.EST_k37c20_16504 m.37609 type:3prime_partial len:271 (-) symbB1.EST_k37c20_16504:1-810(-),0,0,0,1,0,0,2,0,0,0,0,0
m.1321,Predicted protein OS=Nematostella vectensis GN=v1g248415 PE=4 SV=1,0,0,0,0,0,0,0,0,0,2,1,2
m.2908,m.2908,0,1,4,5,0,3,3,6,0,2,0,1
m.29336,m.29336,0,0,0,0,1,1,0,0,0,0,0,0
m.29428,Dihydrofolate reductase OS=Drosophila melanogaster GN=Dhfr PE=1 SV=3,12,39,16,35,14,16,16,21,7,29,28,29
m.29601,Pancreatic secretory granule membrane major glycoprotein GP2 OS=Rattus norvegicus GN=Gp2 PE=1 SV=1,0,1,6,1,0,4,5,2,1,4,2,2
m.29808,Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1,40,34,26,30,35,30,16,16,30,23,22,23
m.29970,Integral membrane protein 2C OS=Bos taurus GN=ITM2C PE=2 SV=1,2,0,0,0,2,0,0,0,0,0,0,0
m.29972,Early endosome antigen 1 OS=Homo sapiens GN=EEA1 PE=1 SV=2,15,17,16,17,15,17,22,12,14,25,28,31
m.30492,Predicted protein OS=Nematostella vectensis GN=v1g109978 PE=4 SV=1,12,12,5,19,11,11,6,6,4,11,12,11
m.3079,Aggrecan core protein OS=Bos taurus GN=ACAN PE=1 SV=3,55,129,63,112,145,83,83,73,92,68,67,75
m.30980,26S protease regulatory subunit 6A OS=Rattus norvegicus GN=Psmc3 PE=2 SV=1,5,12,6,14,11,5,12,22,13,18,10,12
m.13131,26S protease regulatory subunit 8 OS=Drosophila melanogaster GN=Rpt6 PE=1 SV=2,8,13,13,12,15,15,8,12,7,9,13,12
m.15859,26S protease regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5,3,4,11,10,8,11,9,6,4,11,8,3
m.29813,26S protease regulatory subunit 4 OS=Drosophila melanogaster GN=Rpt2 PE=1 SV=2,1,1,1,3,1,1,1,2,0,1,0,1
m.13218,Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=1 SV=4,0,1,1,1,0,1,0,1,0,0,0,0
m.30990,Aminopeptidase N OS=Oryctolagus cuniculus GN=ANPEP PE=1 SV=4,0,0,0,0,0,0,0,1,0,0,0,0
m.3106,DnaJ homolog subfamily B member 5 OS=Mus musculus GN=Dnajb5 PE=2 SV=1,1,0,0,0,0,0,0,0,0,0,0,0
m.13903,m.13903,1,0,2,0,0,0,2,1,2,2,2,2
m.316,Glutathione S-transferase omega-1 OS=Mus musculus GN=Gsto1 PE=2 SV=2,13,18,21,11,20,20,15,7,13,3,3,5
m.31603,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,0,12,5,1,6,2,8,11,0,5,8,7
m.31989,Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4,19,30,26,21,19,43,21,12,17,23,23,20
m.32004,Phenylalanine--tRNA ligase alpha subunit OS=Danio rerio GN=farsa PE=2 SV=2,8,13,16,10,15,18,20,15,11,17,17,15
m.32194,Predicted protein OS=Nematostella vectensis GN=v1g246919 PE=4 SV=1,0,3,2,3,3,4,0,4,1,0,2,2
m.32200,Neuropilin-2 OS=Homo sapiens GN=NRP2 PE=1 SV=2,0,3,3,0,2,3,0,0,0,0,0,0
m.32319,m.32319,1,1,1,1,2,1,0,0,0,0,0,1
m.32539,m.32539,0,0,0,0,0,0,1,1,0,2,4,5
symbB1.EST_k37c20_9006|m.20985,symbB1.EST_k37c20_9006 g.20985  ORF symbB1.EST_k37c20_9006 g.20985 symbB1.EST_k37c20_9006 m.20985 type:5prime_partial len:1608 (-) symbB1.EST_k37c20_9006:371-5194(-),0,0,0,1,0,1,1,10,0,6,4,5
symbB1.EST_k37c20_3378|m.8052,symbB1.EST_k37c20_3378 g.8052  ORF symbB1.EST_k37c20_3378 g.8052 symbB1.EST_k37c20_3378 m.8052 type:complete len:1598 (-) symbB1.EST_k37c20_3378:423-5216(-),0,0,0,1,0,1,4,0,0,2,0,1
m.32826,m.32826,1,0,0,1,0,0,0,0,0,0,0,0
m.32831,L-tyrosine decarboxylase OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) GN=mfnA PE=3 SV=1,87,57,84,88,50,92,66,72,41,61,50,43
m.33135,Histone H4 OS=Dendronephthya klunzingeri GN=H4DEKL PE=3 SV=3,446,301,787,754,430,990,428,371,144,259,296,302
symbB1.EST_k37c20_23560|m.52274,symbB1.EST_k37c20_23560 g.52274  ORF symbB1.EST_k37c20_23560 g.52274 symbB1.EST_k37c20_23560 m.52274 type:complete len:114 (-) symbB1.EST_k37c20_23560:106-447(-),0,0,0,0,0,4,1,0,0,0,0,0
m.33251,m.33251,0,4,0,0,0,0,0,0,1,0,0,0
m.3341,Beta carbonic anhydrase 1 OS=Caenorhabditis briggsae GN=bca-1 PE=3 SV=2,0,1,1,0,0,1,0,0,0,0,0,0
m.33500,m.33500,35,52,59,73,53,68,46,44,35,47,46,53
m.33823,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,2,0,2,1,1,2,0,1,2,6,7,6
m.33851,Chitotriosidase-1 OS=Homo sapiens GN=CHIT1 PE=1 SV=1,3,18,15,12,12,2,4,12,8,0,0,0
m.30803,Acidic mammalian chitinase OS=Bos taurus GN=CHIA PE=1 SV=1,3,0,9,0,1,8,4,2,0,1,1,0
m.3406,Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,1
m.1328,Transmembrane emp24 domain-containing protein OS=Nematostella vectensis GN=v1g194562 PE=3 SV=1,0,0,0,0,0,0,1,1,0,0,0,0
m.3410,Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2,8,8,9,8,6,8,15,2,6,17,16,15
m.34176,Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1,2,4,1,2,2,2,3,3,1,3,3,5
m.3433,Predicted protein OS=Nematostella vectensis GN=v1g232854 PE=4 SV=1,0,0,0,0,0,0,0,0,0,1,0,0
m.3444,26S proteasome non-ATPase regulatory subunit 7 OS=Drosophila melanogaster GN=Rpn8 PE=1 SV=6,10,8,11,8,10,8,7,5,11,7,8,8
m.3462,Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2,37,40,70,80,46,27,57,33,23,66,56,58
symbB1.EST_k37c20_6576|m.15592,symbB1.EST_k37c20_6576 g.15592  ORF symbB1.EST_k37c20_6576 g.15592 symbB1.EST_k37c20_6576 m.15592 type:5prime_partial len:1563 (+) symbB1.EST_k37c20_6576:1-4689(+),0,0,0,0,0,0,1,0,2,0,0,1
m.3463,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4",23,40,52,58,33,27,37,14,5,45,38,45
m.34789,Nucleoprotein TPR OS=Rattus norvegicus GN=Tpr PE=1 SV=1,1,4,5,2,2,3,2,4,0,1,0,0
m.3494,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus GN=Sptan1 PE=1 SV=2",435,541,585,604,505,454,487,365,396,453,467,459
m.355,Glutathione S-transferase OS=Musca domestica PE=2 SV=1,94,160,73,62,99,78,41,65,63,45,47,50
m.9738,Glutathione S-transferase OS=Blattella germanica PE=1 SV=3,61,193,72,51,105,53,23,38,78,22,23,25
m.30927,Glutathione S-transferase OS=Dirofilaria immitis PE=2 SV=1,66,104,135,85,107,132,70,51,94,57,58,58
m.34493,Glutathione S-transferase OS=Dirofilaria immitis PE=2 SV=1,10,45,15,7,52,3,18,13,23,16,18,18
m.16994,Glutathione S-transferase OS=Blattella germanica PE=1 SV=3,0,0,0,0,0,0,19,0,0,21,18,29
m.9119,Glutathione S-transferase OS=Blattella germanica PE=1 SV=3,7,4,11,14,4,1,13,26,13,18,19,18
m.9873,Glutathione S-transferase OS=Blattella germanica PE=1 SV=3,8,18,34,15,25,28,0,11,10,1,0,0
m.1,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,5,5,8,5,4,4,0,6,0,0,0,0
m.10260,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1,4,2,0,1,1,0,1,0,0,4,5,4
m.13280,Predicted protein OS=Nematostella vectensis GN=v1g243116 PE=4 SV=1,0,0,0,0,0,0,0,0,0,1,1,1
m.36021,Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1 PE=2 SV=2,0,0,0,0,0,0,5,2,11,0,0,0
m.36038,m.36038,0,23,1,0,17,0,45,33,15,11,10,11
m.36115,m.36115,0,23,1,0,17,0,0,0,0,11,10,11
m.36049,5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Photobacterium profundum GN=mtnN PE=3 SV=1,0,1,14,0,2,25,29,3,4,37,32,30
m.13050,5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Exiguobacterium sibiricum (strain DSM 17290 / JCM 13490 / 255-15) GN=mtnN PE=3 SV=1,9,17,0,13,13,0,0,0,0,0,0,0
m.36120,Collagen triple helix repeat-containing protein 1 OS=Mus musculus GN=Cthrc1 PE=2 SV=2,1,3,2,3,1,4,0,0,1,2,3,3
m.26081,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,3,2,1,7,10,1,2,3,0,7,10,10
m.13047,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,0,1,0,0,1,2,0,0,0,0,0
m.1391,Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1,0,0,0,0,0,0,0,3,0,0,0,0
m.19810,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,3,0,0,2,0,0,0,0,0,1,2
m.16304,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,1,2,1,0,1,0,0,0,1,3,2
m.1838,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,1,0,0,3,0,0,0,0,0,0,0
m.6240,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,0,0,0,0,0,0,0,1,0,0,0
m.22958,Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1,0,0,3,3,0,1,3,3,0,8,7,7
m.24204,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,0,0,3,0,0,0,1,0,0,0,0
m.32785,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,1,0,0,0,0,0,0,0,1,5,3,3
m.12347,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,7,4,5
m.20986,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,0,1,0,1,1,3,0,2,0,0,0
m.17577,Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1,1,3,2,3,1,4,0,0,1,2,3,3
m.17386,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0,7,1,3,1,1,3,0,2,0,0,0
m.36182,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,1,1,0,1,1,0,1,0,0,1,2,0
m.32422,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,0,3,0,0,2,0,0,0,4,0,0,0
m.5098,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,1,1,0,1,1,0,1,0,0,1,2,0
m.22041,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,0,0,0,0,0,1,0,1,0,0,0,0
m.643,Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1,1,1,0,1,1,5,1,3,0,1,2,4
m.29201,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g134593 PE=4 SV=1,1,1,0,1,1,0,1,3,0,1,2,4
m.36412,Signal transducer and activator of transcription 5B OS=Sus scrofa GN=STAT5B PE=2 SV=1,0,0,1,1,0,0,0,2,1,2,2,2
m.3733,Copine-4 OS=Mus musculus GN=Cpne4 PE=1 SV=1,1,5,0,5,2,0,4,0,3,4,1,4
m.37474,m.37474,19,36,63,85,24,84,51,24,8,28,26,28
m.27625,LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2,1,4,0,0,2,1,0,0,0,2,2,1
m.37637,Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1,10,21,13,10,23,52,22,15,13,28,26,26
m.26302,Myocilin OS=Mus musculus GN=Myoc PE=1 SV=1,2,5,0,3,2,8,7,0,14,2,2,0
m.13287,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_89366 PE=4 SV=1,0,1,0,0,0,0,7,0,7,7,8,9
m.37753,Protein phosphatase inhibitor 2 OS=Oryctolagus cuniculus GN=PPP1R2 PE=1 SV=3,0,2,0,0,0,0,0,0,0,0,0,1
m.378,Rho GDP-dissociation inhibitor 1 OS=Macaca fascicularis GN=ARHGDIA PE=2 SV=1,56,70,52,53,59,55,47,27,63,43,46,46
m.37963,Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2,0,3,4,2,2,1,11,9,5,3,2,3
m.8493,Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2,0,3,3,4,0,2,2,0,1,0,0,0
m.38037,Peptidyl-prolyl cis-trans isomerase FKBP14 OS=Mus musculus GN=Fkbp14 PE=2 SV=1,24,34,17,15,38,16,20,16,26,24,26,27
m.38073,Uncharacterized HIT-like protein Synpcc7942_1390 OS=Synechococcus elongatus (strain PCC 7942) GN=Synpcc7942_1390 PE=4 SV=1,11,4,9,8,4,9,12,11,7,6,6,5
m.38282,m.38282,1,4,6,9,7,2,4,2,5,9,13,12
m.35015,m.35015,0,0,0,1,0,0,0,0,0,0,0,0
m.3835,m.3835,0,0,0,1,0,0,0,1,1,1,0,0
m.7049,m.7049,0,1,0,1,2,0,0,1,0,1,0,0
m.3844,Putative flagellar-associated protein (Fragment) OS=Stylophora pistillata PE=4 SV=1,52,210,68,169,329,91,191,264,221,210,169,176
m.9144,m.9144,11,15,13,15,18,18,12,14,16,14,19,17
m.38571,m.38571,0,7,21,0,14,7,7,8,0,4,1,2
symbB1.EST_k37c20_55680|m.94424,symbB1.EST_k37c20_55680 g.94424  ORF symbB1.EST_k37c20_55680 g.94424 symbB1.EST_k37c20_55680 m.94424 type:internal len:467 (+) symbB1.EST_k37c20_55680:1-1398(+),0,2,3,1,2,0,1,0,0,0,0,0
m.38633,Alcohol dehydrogenase class-3 OS=Sparus aurata PE=2 SV=1,17,23,20,18,26,15,23,14,23,27,28,22
m.13288,Stabilin-2 OS=Homo sapiens GN=STAB2 PE=1 SV=3,0,0,0,0,1,0,0,0,0,0,0,0
m.39,Predicted protein OS=Nematostella vectensis GN=v1g244685 PE=4 SV=1,4,2,0,1,2,0,1,0,0,1,0,0
m.3914,Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus GN=Fkbp2 PE=1 SV=1,12,18,10,18,17,16,21,9,22,20,14,15
m.3976,Cyclin-G-associated kinase OS=Rattus norvegicus GN=Gak PE=2 SV=1,0,0,1,0,0,0,2,0,1,0,0,0
m.3991,Beta-1-syntrophin OS=Homo sapiens GN=SNTB1 PE=1 SV=3,0,3,2,1,2,0,4,3,1,7,4,3
m.4212,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Xenopus laevis GN=aldh1l1 PE=2 SV=1,15,12,18,32,16,16,23,31,24,32,31,32
m.1881,Retinal dehydrogenase 1 OS=Gallus gallus GN=ALDH1A1 PE=2 SV=1,127,122,210,156,132,225,112,81,100,96,101,95
m.5354,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Rattus norvegicus GN=Aldh6a1 PE=1 SV=1",20,26,22,32,26,26,34,27,14,37,40,37
m.13486,Retinal dehydrogenase 1 OS=Gallus gallus GN=ALDH1A1 PE=2 SV=1,57,42,65,50,45,41,40,22,48,27,29,33
m.17895,Aldehyde dehydrogenase family 3 member B1 OS=Homo sapiens GN=ALDH3B1 PE=1 SV=1,3,14,13,15,11,8,22,6,12,14,9,7
m.11826,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=3",2,6,3,4,7,1,3,9,1,2,2,2
m.4234,m.4234,0,2,2,1,2,1,0,0,0,0,3,2
m.428,Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1,12,7,5,12,5,11,10,13,2,8,10,8
m.4304,Pathogenesis-related protein PRB1-2 OS=Hordeum vulgare PE=2 SV=1,0,2,2,0,1,2,3,0,1,0,0,0
m.4330,UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2,0,2,0,0,2,0,0,1,0,0,0,0
m.4337,CBL-interacting serine/threonine-protein kinase 18 OS=Arabidopsis thaliana GN=CIPK18 PE=1 SV=1,0,0,1,1,0,0,0,0,0,0,0,0
m.13295,Leukocyte elastase inhibitor B OS=Mus musculus GN=Serpinb1b PE=1 SV=1,0,2,1,2,0,0,1,3,3,5,3,2
m.441,"Aspartate aminotransferase, cytoplasmic OS=Gallus gallus GN=GOT1 PE=1 SV=3",25,39,75,52,40,56,56,47,70,41,46,46
m.449,40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=2 SV=3,14,16,12,15,12,23,23,15,8,22,26,23
m.454,Dual specificity protein kinase shkB OS=Dictyostelium discoideum GN=shkB PE=3 SV=1,0,0,0,0,1,0,0,0,0,0,0,0
m.459,Putative aminopeptidase W07G4.4 OS=Caenorhabditis elegans GN=W07G4.4 PE=1 SV=1,7,17,5,7,13,5,42,5,3,47,47,43
m.4616,Serine/threonine-protein kinase Sgk3 OS=Pongo abelii GN=SGK3 PE=2 SV=1,0,1,0,0,0,0,0,2,0,0,0,0
m.4279,Serine/threonine-protein kinase Sgk1 OS=Bos taurus GN=SGK1 PE=2 SV=1,0,1,0,0,1,0,1,1,0,0,0,0
m.4641,Poly(U)-specific endoribonuclease-B OS=Danio rerio GN=endoub PE=2 SV=1,2,0,2,0,0,2,2,1,3,2,3,2
m.4653,Glutathione S-transferase kappa 1 OS=Homo sapiens GN=GSTK1 PE=1 SV=3,0,0,0,0,1,0,0,0,2,0,0,0
m.47,Kinesin heavy chain OS=Doryteuthis pealeii PE=2 SV=1,1,4,5,8,5,3,6,1,2,2,2,3
m.8696,Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1,1,0,1,7,2,6,1,6,1,0,0,0
m.474,Lysosomal acid lipase/cholesteryl ester hydrolase OS=Mus musculus GN=Lipa PE=2 SV=2,0,1,0,1,1,0,1,3,2,1,0,1
m.4781,V-type proton ATPase catalytic subunit A isoform 2 OS=Drosophila melanogaster GN=Vha68-2 PE=1 SV=2,41,44,59,55,55,51,78,49,45,61,58,58
symbB1.EST_k37c20_174|m.400,symbB1.EST_k37c20_174 g.400  ORF symbB1.EST_k37c20_174 g.400 symbB1.EST_k37c20_174 m.400 type:5prime_partial len:627 (-) symbB1.EST_k37c20_174:97-1977(-),0,0,1,1,0,0,0,1,2,0,0,0
m.13300,WD repeat and FYVE domain-containing protein 2 OS=Homo sapiens GN=WDFY2 PE=2 SV=2,0,0,0,0,1,0,0,0,0,0,0,0
m.4808,Outer dense fiber protein 2 OS=Homo sapiens GN=ODF2 PE=1 SV=1,0,1,0,0,0,0,0,0,0,0,0,0
m.4884,40S ribosomal protein S3 OS=Sus scrofa GN=RPS3 PE=2 SV=1,67,52,61,87,73,89,65,57,42,57,54,59
m.4903,Apolipoprotein B-100 OS=Mus musculus GN=Apob PE=1 SV=1,18,26,17,16,32,10,35,72,59,5,6,8
m.4960,Elongation factor 2 OS=Gallus gallus GN=EEF2 PE=1 SV=3,43,63,77,71,73,54,67,49,75,50,47,43
symbB1.EST_k37c20_2962|m.7004,symbB1.EST_k37c20_2962 g.7004  ORF symbB1.EST_k37c20_2962 g.7004 symbB1.EST_k37c20_2962 m.7004 type:5prime_partial len:867 (-) symbB1.EST_k37c20_2962:32-2632(-),0,0,0,0,0,0,0,0,1,0,1,1
m.4994,WW domain-binding protein 2 OS=Homo sapiens GN=WBP2 PE=1 SV=1,0,0,0,0,0,0,1,0,1,0,0,0
m.5022,Translationally-controlled tumor protein homolog OS=Branchiostoma belcheri PE=2 SV=1,67,82,67,52,76,79,57,38,68,77,76,77
m.5026,Signal recognition particle subunit SRP68 OS=Mus musculus GN=Srp68 PE=2 SV=2,0,1,1,2,0,0,0,1,0,2,3,1
m.5030,Thiosulfate sulfurtransferase OS=Gallus gallus GN=TST PE=1 SV=1,93,79,38,69,82,54,33,16,47,28,29,30
m.9990,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,2,1,3,0,1,0,0,0,0,0,0,0
m.5042,CD209 antigen-like protein E OS=Mus musculus GN=Cd209e PE=2 SV=1,0,5,11,9,1,9,7,0,11,2,2,2
m.27757,Aggrecan core protein OS=Bos taurus GN=ACAN PE=1 SV=3,24,16,18,36,28,25,5,4,13,7,7,7
m.1026,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,2,1,0,3,1,0,0,0,0,0,0,0
m.3241,Contactin-2 OS=Gallus gallus GN=CNTN2 PE=1 SV=1,7,0,0,0,0,0,0,0,0,2,2,2
m.4654,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,0,6,0,0,4,0,0,0,0,2,2,2
m.506,m.506,13,13,22,24,14,19,17,11,3,23,21,24
m.13303,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Rattus norvegicus GN=Idh3g PE=2 SV=2",0,0,0,1,0,0,1,1,1,0,0,0
m.5061,Alpha-L-fucosidase OS=Branchiostoma floridae GN=BRAFLDRAFT_56888 PE=3 SV=2,99,72,110,82,62,139,69,42,74,40,46,44
m.5087,Calcium/calmodulin-dependent protein kinase type IV OS=Homo sapiens GN=CAMK4 PE=1 SV=1,0,0,0,2,2,0,1,1,1,2,3,2
m.5096,Sortilin-related receptor OS=Oryctolagus cuniculus GN=SORL1 PE=2 SV=1,4,0,6,9,0,3,6,2,0,14,12,15
